sentence_id,words,tags
11,.,O
12,Lebanon,B-geo
12,has,O
12,suffered,O
12,a,O
12,series,O
12,of,O
12,bombings,O
12,since,O
12,the,O
12,massive,O
12,explosion,O
12,in,O
12,February,B-tim
12,that,O
12,killed,O
12,former,O
12,Prime,B-per
12,Minister,O
12,Rafik,B-per
12,Hariri,I-per
12,and,O
12,20,O
12,other,O
12,people,O
12,.,O
13,Syria,B-geo
13,is,O
13,widely,O
13,accused,O
13,of,O
13,involvement,O
13,in,O
13,his,O
13,killing,O
13,",",O
13,and,O
13,Friday,B-tim
13,'s,O
13,explosion,O
13,comes,O
13,days,O
13,before,O
13,U.N.,B-geo
13,investigator,O
13,Detlev,B-per
13,Mehlis,I-per
13,is,O
13,to,O
13,return,O
13,to,O
13,Damascus,B-geo
13,to,O
13,interview,O
13,several,O
13,Syrian,B-gpe
13,officials,O
13,about,O
13,the,O
13,assassination,O
13,.,O
14,The,O
14,global,O
14,financial,O
14,crisis,O
14,has,O
14,left,O
14,Iceland,B-org
14,'s,O
14,economy,O
14,in,O
14,shambles,O
14,.,O
15,Israeli,B-gpe
15,officials,O
15,say,O
15,Prime,B-per
15,Minister,I-per
15,Ariel,I-per
15,Sharon,I-per
15,will,O
15,undergo,O
15,a,O
15,medical,O
15,procedure,O
15,Thursday,B-tim
15,to,O
15,close,O
15,a,O
15,tiny,O
15,hole,O
15,in,O
15,his,O
15,heart,O
15,discovered,O
15,during,O
15,treatment,O
15,for,O
15,a,O
15,minor,O
15,stroke,O
15,suffered,O
15,last,O
15,month,O
15,.,O
16,Doctors,O
16,describe,O
16,the,O
16,tiny,O
16,hole,O
16,as,O
16,a,O
16,minor,O
16,birth,O
16,defect,O
16,and,O
16,say,O
16,it,O
16,is,O
16,in,O
16,the,O
16,partition,O
16,between,O
16,the,O
16,upper,O
16,chambers,O
16,of,O
16,Mr.,B-per
16,Sharon,I-per
16,'s,O
16,heart,O
16,.,O
17,The,O
17,procedure,O
17,",",O
17,known,O
17,as,O
17,cardiac,O
17,catheterization,O
17,",",O
17,involves,O
17,inserting,O
17,a,O
17,catheter,O
17,through,O
17,a,O
17,blood,O
17,vessel,O
17,into,O
17,the,O
17,heart,O
17,",",O
17,where,O
17,an,O
17,umbrella-like,O
17,device,O
17,will,O
17,plug,O
17,the,O
17,hole,O
17,.,O
18,Doctors,O
18,say,O
18,they,O
18,expect,O
18,Mr.,B-per
18,Sharon,I-per
18,will,O
18,make,O
18,a,O
18,full,O
18,recovery,O
18,.,O
21,The,O
21,designers,O
21,of,O
21,the,O
21,first,O
21,private,O
21,manned,O
21,rocket,O
21,to,O
21,burst,O
21,into,O
21,space,O
21,have,O
21,received,O
21,a,O
21,$,O
21,10,O
21,million,O
21,prize,O
21,created,O
21,to,O
21,promote,O
21,space,O
21,tourism,O
21,.,O
22,SpaceShipOne,B-art
22,designer,O
22,Burt,B-per
22,Rutan,I-per
22,accepted,O
22,the,O
22,Ansari,B-art
22,X,I-art
22,Prize,I-art
22,money,O
22,and,O
22,a,O
22,trophy,O
22,on,O
22,behalf,O
22,of,O
22,his,O
22,team,O
22,Saturday,B-tim
22,during,O
22,an,O
22,awards,O
22,ceremony,O
22,in,O
22,the,O
22,U.S.,B-geo
22,state,O
22,of,O
22,Missouri,B-geo
22,.,O
24,The,O
24,spacecraft,O
24,made,O
24,its,O
24,flights,O
24,in,O
24,late,O
24,September,B-tim
24,and,O
24,early,O
24,October,B-tim
24,",",O
24,lifting,O
24,off,O
24,from,O
24,California,B-geo
24,'s,O
24,Mojave,B-geo
24,desert,O
24,.,O
25,Three,O
25,major,O
25,banks,O
25,have,O
25,collapsed,O
25,",",O
25,unemployment,O
25,has,O
25,soared,O
25,",",O
25,and,O
25,the,O
25,value,O
25,of,O
25,the,O
25,krona,O
25,has,O
25,plunged,O
25,.,O
27,SpaceShipOne,B-art
27,was,O
27,financed,O
27,with,O
27,more,O
27,than,O
27,$,O
27,20,O
27,million,O
27,from,O
27,Paul,B-per
27,Allen,I-per
27,",",O
27,a,O
27,co-founder,O
27,of,O
27,the,O
27,Microsoft,B-org
27,Corporation,I-org
27,.,O
28,North,B-geo
28,Korea,I-geo
28,says,O
28,flooding,O
28,caused,O
28,by,O
28,last,O
28,week,O
28,'s,O
28,typhoon,O
28,",",O
28,Wipha,B-per
28,",",O
28,has,O
28,destroyed,O
28,"14,000",O
28,homes,O
28,and,O
28,"1,09,000",O
28,hectares,O
28,of,O
28,crops,O
28,.,O
30,It,O
30,says,O
30,the,O
30,floods,O
30,also,O
30,destroyed,O
30,or,O
30,damaged,O
30,"8,000",O
30,public,O
30,buildings,O
30,and,O
30,washed,O
30,out,O
30,roads,O
30,",",O
30,bridges,O
30,and,O
30,railways,O
30,.,O
31,The,O
31,report,O
31,did,O
31,not,O
31,mention,O
31,any,O
31,deaths,O
31,or,O
31,injuries,O
31,.,O
32,Most,O
32,of,O
32,the,O
32,heavy,O
32,rains,O
32,and,O
32,flooding,O
32,occurred,O
32,in,O
32,the,O
32,southwestern,O
32,part,O
32,of,O
32,the,O
32,country,O
32,",",O
32,including,O
32,the,O
32,capital,O
32,",",O
32,Pyongyang,B-geo
32,.,O
33,Last,O
33,month,O
33,",",O
33,severe,O
33,flooding,O
33,in,O
33,North,B-geo
33,Korea,I-geo
33,left,O
33,600,O
33,people,O
33,dead,O
33,or,O
33,missing,O
33,",",O
33,and,O
33,displaced,O
33,more,O
33,than,O
33,"1,00,000",O
33,others,O
33,.,O
34,A,O
34,strong,O
34,earthquake,O
34,under,O
34,the,O
34,ocean,O
34,off,O
34,Indonesia,B-org
34,'s,I-org
34,Sumatra,I-org
34,and,I-org
34,Nias,I-org
34,islands,I-org
34,has,O
34,caused,O
34,some,O
34,panic,O
34,but,O
34,no,O
34,damage,O
34,or,O
34,injuries,O
34,.,O
35,The,O
35,U.S.,B-org
35,Geological,I-org
35,Survey,I-org
35,gave,O
35,a,O
35,preliminary,O
35,estimate,O
35,of,O
35,the,O
35,strength,O
35,of,O
35,the,O
35,Tuesday,B-tim
35,morning,I-tim
35,quake,O
35,at,O
35,6.7,O
35,on,O
35,the,O
35,Richter,B-geo
35,scale,O
35,",",O
35,and,O
35,said,O
35,the,O
35,epicenter,O
35,was,O
35,close,O
35,to,O
35,the,O
35,island,O
35,of,O
35,Nias,B-org
35,.,O
36,Prime,O
36,Minister,O
36,Geir,B-per
36,Haarde,I-per
36,has,O
36,refused,O
36,to,O
36,resign,O
36,or,O
36,call,O
36,for,O
36,early,O
36,elections,O
36,.,O
37,The,O
37,quake,O
37,did,O
37,not,O
37,cause,O
37,a,O
37,tsunami,O
37,.,O
38,An,O
38,earthquake,O
38,in,O
38,late,O
38,March,B-tim
38,killed,O
38,more,O
38,than,O
38,900,O
38,people,O
38,on,O
38,Nias,B-org
38,.,O
40,The,O
40,latest,O
40,official,O
40,death,O
40,toll,O
40,from,O
40,that,O
40,tragedy,O
40,stands,O
40,at,O
40,some,O
40,"1,76,000",O
40,people,O
40,killed,O
40,-,O
40,"1,28,000",O
40,of,O
40,them,O
40,in,O
40,Indonesia,B-geo
40,.,O
41,Nearly,O
41,"50,000",O
41,people,O
41,are,O
41,still,O
41,listed,O
41,as,O
41,missing,O
41,",",O
41,but,O
41,most,O
41,of,O
41,them,O
41,are,O
41,feared,O
41,dead,O
41,.,O
42,The,O
42,U.S.,B-geo
42,rap,O
42,star,O
42,Snoop,B-per
42,Dogg,I-per
42,and,O
42,five,O
42,of,O
42,his,O
42,associates,O
42,have,O
42,been,O
42,arrested,O
42,in,O
42,Britain,B-geo
42,after,O
42,a,O
42,disturbance,O
42,at,O
42,London,B-geo
42,'s,O
42,Heathrow,B-geo
42,Airport,I-geo
42,.,O
43,Police,O
43,told,O
43,British,B-gpe
43,media,O
43,that,O
43,the,O
43,musician,O
43,",",O
43,who,O
43,was,O
43,born,O
43,with,O
43,the,O
43,name,O
43,Calvin,B-per
43,Broadus,I-per
43,",",O
43,and,O
43,members,O
43,of,O
43,his,O
43,entourage,O
43,were,O
43,being,O
43,held,O
43,on,O
43,charges,O
43,of,O
43,"""",O
43,violent,O
43,disorder,O
43,and,O
43,affray,O
43,.,O
43,"""",O
44,The,O
44,group,O
44,was,O
44,waiting,O
44,for,O
44,a,O
44,flight,O
44,to,O
44,South,B-geo
44,Africa,I-geo
44,",",O
44,where,O
44,Snoop,B-per
44,Dogg,I-per
44,was,O
44,to,O
44,perform,O
44,in,O
44,a,O
44,concert,O
44,Thursday,B-tim
44,",",O
44,when,O
44,it,O
44,was,O
44,denied,O
44,access,O
44,to,O
44,a,O
44,first-class,O
44,lounge,O
44,at,O
44,the,O
44,airport,O
44,.,O
45,Police,O
45,said,O
45,members,O
45,of,O
45,the,O
45,group,O
45,later,O
45,threw,O
45,bottles,O
45,of,O
45,whisky,O
45,in,O
45,a,O
45,duty-free,O
45,store,O
45,and,O
45,scuffled,O
45,with,O
45,police,O
45,.,O
47,He,O
47,blames,O
47,Iceland,B-org
47,'s,O
47,economic,O
47,calamity,O
47,on,O
47,commercial,O
47,bankers,O
47,.,O
48,Afghan,B-gpe
48,President,B-per
48,Hamid,I-per
48,Karzai,I-per
48,says,O
48,he,O
48,has,O
48,fired,O
48,two,O
48,"""",O
48,high-ranking,O
48,"""",O
48,Afghan,B-gpe
48,officials,O
48,who,O
48,were,O
48,spying,O
48,for,O
48,other,O
48,countries,O
48,",",O
48,and,O
48,warns,O
48,he,O
48,would,O
48,not,O
48,spare,O
48,anyone,O
48,who,O
48,engages,O
48,in,O
48,such,O
48,activity,O
48,.,O
49,Mr.,B-per
49,Karzai,I-per
49,made,O
49,the,O
49,disclosure,O
49,at,O
49,a,O
49,lunch,O
49,meeting,O
49,with,O
49,newly,O
49,sworn-in,O
49,parliament,O
49,members,O
49,",",O
49,and,O
49,did,O
49,not,O
49,name,O
49,the,O
49,dismissed,O
49,officials,O
49,nor,O
49,indicate,O
49,when,O
49,he,O
49,took,O
49,the,O
49,action,O
49,He,O
49,also,O
49,did,O
49,not,O
49,name,O
49,the,O
49,other,O
49,countries,O
49,involved,O
49,.,O
50,Mr.,B-per
50,Karzai,I-per
50,said,O
50,he,O
50,had,O
50,strong,O
50,evidence,O
50,against,O
50,the,O
50,two,O
50,officials,O
50,.,O
54,He,O
54,won,O
54,a,O
54,presidential,O
54,election,O
54,in,O
54,October,B-tim
54,2004,I-tim
54,.,O
55,And,O
55,now,O
55,the,O
55,Taleban,B-org
55,are,O
55,waging,O
55,an,O
55,insurgency,O
55,against,O
55,his,O
55,administration,O
55,.,O
56,For,O
56,the,O
56,last,O
56,four,B-tim
56,weeks,O
56,a,O
56,team,O
56,led,O
56,by,O
56,former,O
56,UN,B-org
56,Secretary-General,I-org
56,Kofi,B-per
56,Annan,I-per
56,has,O
56,been,O
56,trying,O
56,to,O
56,broker,O
56,a,O
56,deal,O
56,between,O
56,the,O
56,Kenyan,B-gpe
56,government,O
56,of,O
56,President,B-per
56,Mwai,I-per
56,Kibaki,I-per
56,and,O
56,the,O
56,opposition,O
56,led,O
56,by,O
56,Raila,B-org
56,Odinga,I-org
56,.,O
57,The,O
57,negotiations,O
57,have,O
57,concentrated,O
57,on,O
57,a,O
57,power,O
57,sharing,O
57,agreement,O
57,and,O
57,a,O
57,transitional,O
57,arrangement,O
57,leading,O
57,to,O
57,new,O
57,elections,O
57,.,O
58,The,O
58,government,O
58,was,O
58,forced,O
58,to,O
58,ask,O
58,the,O
58,International,B-org
58,Monetary,I-org
58,Fund,I-org
58,and,O
58,several,O
58,countries,O
58,for,O
58,a,O
58,multi-billion-dollar,O
58,loan,O
58,.,O
59,A,O
59,recent,O
59,report,O
59,by,O
59,the,O
59,international,O
59,crisis,O
59,group,O
59,says,O
59,three,O
59,complimentary,O
59,sets,O
59,of,O
59,issues,O
59,must,O
59,be,O
59,addressed,O
59,to,O
59,finalize,O
59,a,O
59,detailed,O
59,power,O
59,sharing,O
59,agreement,O
59,.,O
60,Francois,B-per
60,Grignon,I-per
60,is,O
60,director,O
60,of,O
60,the,O
60,Africa,B-geo
60,program,O
60,of,O
60,the,O
60,ICG,B-org
60,.,O
61,In,O
61,a,O
61,telephone,O
61,interview,O
61,to,O
61,discuss,O
61,the,O
61,issues,O
61,at,O
61,stake,O
61,",",O
61,he,O
61,told,O
61,VOA,B-org
61,reporter,O
61,Akwei,B-per
61,Thompson,I-per
61,the,O
61,opposition,O
61,would,O
61,demonstrate,O
61,a,O
61,stronger,O
61,political,O
61,will,O
61,to,O
61,tackle,O
61,the,O
61,task,O
61,of,O
61,legal,O
61,and,O
61,constitutional,O
61,reform,O
61,needed,O
61,during,O
61,the,O
61,transition,O
61,period,O
61,because,O
61,,O
61,,O
61,the,O
61,electoral,O
61,dispute,O
61,left,O
61,them,O
61,out,O
61,",",O
61,the,O
61,losers,O
61,,O
61,.,O
61,,O
63,After,O
63,signing,O
63,the,O
63,bill,O
63,Friday,B-tim
63,and,O
63,meeting,O
63,with,O
63,his,O
63,advisers,O
63,on,O
63,counter-terrorism,O
63,",",O
63,Mr.,B-per
63,Bush,I-per
63,said,O
63,his,O
63,homeland,O
63,security,O
63,and,O
63,counter-terrorism,O
63,teams,O
63,are,O
63,doing,O
63,everything,O
63,they,O
63,can,O
63,to,O
63,protect,O
63,the,O
63,country,O
63,from,O
63,what,O
63,he,O
63,called,O
63,a,O
63,"""",O
63,dangerous,O
63,enemy,O
63,.,O
63,"""",O
65,Those,O
65,include,O
65,a,O
65,grant,O
65,of,O
65,$,O
65,4,O
65,billion,O
65,to,O
65,be,O
65,given,O
65,to,O
65,high-risk,O
65,cities,O
65,to,O
65,upgrade,O
65,transit,O
65,security,O
65,.,O
66,They,O
66,also,O
66,mandate,O
66,screening,O
66,of,O
66,all,O
66,U.S.-bound,O
66,cargo,O
66,on,O
66,planes,O
66,and,O
66,ships,O
66,within,O
66,the,O
66,next,O
66,five,B-tim
66,years,O
66,.,O
68,In,O
68,a,O
68,statement,O
68,Friday,B-tim
68,",",O
68,she,O
68,asked,O
68,the,O
68,Burmese,B-gpe
68,people,O
68,to,O
68,"""",O
68,struggle,O
68,together,O
68,with,O
68,new,O
68,strengths,O
68,",",O
68,new,O
68,force,O
68,and,O
68,new,O
68,words,O
68,"""",O
68,in,O
68,2011,B-tim
68,.,O
69,Global,O
69,health,O
69,experts,O
69,said,O
69,cancer,O
69,will,O
69,become,O
69,the,O
69,leading,O
69,cause,O
69,of,O
69,death,O
69,in,O
69,the,O
69,world,O
69,by,O
69,2010,B-tim
69,",",O
69,overtaking,O
69,heart,O
69,disease,O
69,.,O
70,The,O
70,65-year-old,O
70,advocate,O
70,for,O
70,democratic,O
70,reforms,O
70,in,O
70,Burma,B-geo
70,was,O
70,released,O
70,after,O
70,more,O
70,than,O
70,seven,O
70,years,O
70,of,O
70,house,O
70,arrest,O
70,on,O
70,November,B-tim
70,13,I-tim
70,.,O
71,That,O
71,was,O
71,just,O
71,days,O
71,after,O
71,the,O
71,country,O
71,'s,O
71,military,O
71,rulers,O
71,claimed,O
71,an,O
71,overwhelming,O
71,victory,O
71,in,O
71,Burma,B-geo
71,'s,O
71,widely,O
71,criticized,O
71,first,O
71,election,O
71,in,O
71,two,B-tim
71,decades,I-tim
71,.,O
72,She,O
72,said,O
72,in,O
72,the,O
72,statement,O
72,that,O
72,Burmese,B-gpe
72,people,O
72,need,O
72,to,O
72,establish,O
72,political,O
72,and,O
72,social,O
72,networks,O
72,to,O
72,achieve,O
72,"""",O
72,national,O
72,reconciliation,O
72,as,O
72,well,O
72,as,O
72,a,O
72,truly,O
72,united,O
72,spirit,O
72,.,O
72,"""",O
73,The,O
73,United,B-geo
73,States,I-geo
73,on,O
73,Thursday,B-tim
73,again,O
73,called,O
73,for,O
73,Burma,B-geo
73,'s,O
73,leaders,O
73,to,O
73,free,O
73,the,O
73,more,O
73,than,O
73,"2,200",O
73,political,O
73,prisoners,O
73,in,O
73,the,O
73,country,O
73,and,O
73,engage,O
73,in,O
73,talks,O
73,to,O
73,promote,O
73,democracy,O
73,.,O
74,Former,O
74,U.S.,B-org
74,President,B-per
74,Bill,I-per
74,Clinton,I-per
74,has,O
74,assembled,O
74,world,O
74,leaders,O
74,",",O
74,activists,O
74,and,O
74,academics,O
74,in,O
74,New,B-geo
74,York,I-geo
74,to,O
74,address,O
74,the,O
74,issues,O
74,of,O
74,poverty,O
74,",",O
74,global,O
74,warning,O
74,and,O
74,conflict,O
74,.,O
75,Opening,O
75,Thursday,B-tim
75,",",O
75,the,O
75,Clinton,B-per
75,Global,O
75,Initiative,O
75,'s,O
75,conference,O
75,coincides,O
75,with,O
75,the,O
75,Millennium,B-org
75,summit,O
75,of,O
75,the,O
75,United,B-org
75,Nations,I-org
75,General,I-org
75,Assembly,I-org
75,.,O
76,Mr.,B-per
76,Clinton,I-per
76,says,O
76,the,O
76,focus,O
76,of,O
76,the,O
76,three-day,B-tim
76,conference,O
76,is,O
76,to,O
76,secure,O
76,concrete,O
76,pledges,O
76,from,O
76,leaders,O
76,to,O
76,address,O
76,significant,O
76,problems,O
76,",",O
76,not,O
76,to,O
76,simply,O
76,talk,O
76,about,O
76,them,O
76,.,O
78,Expected,O
78,attendees,O
78,or,O
78,speakers,O
78,include,O
78,British,B-gpe
78,Prime,B-per
78,Minister,I-per
78,Tony,I-per
78,Blair,I-per
78,",",O
78,U.N.,B-org
78,Secretary,B-per
78,General,B-org
78,Kofi,B-per
78,Annan,I-per
78,and,O
78,Israel,B-geo
78,'s,O
78,Deputy,O
78,Prime,B-per
78,Minister,I-per
78,Shimon,I-per
78,Peres,I-per
78,.,O
79,Peruvian,B-gpe
79,election,O
79,officials,O
79,say,O
79,the,O
79,narrow,O
79,gap,O
79,between,O
79,two,O
79,candidates,O
79,vying,O
79,for,O
79,the,O
79,second,O
79,spot,O
79,on,O
79,the,O
79,ballot,O
79,for,O
79,the,O
79,country,O
79,'s,O
79,run-off,O
79,presidential,O
79,election,O
79,has,O
79,tightened,O
79,further,O
79,.,O
80,A,O
80,World,O
80,Health,O
80,Organization,O
80,report,O
80,issued,O
80,Tuesday,B-tim
80,said,O
80,one,O
80,factor,O
80,behind,O
80,cancer,O
80,'s,O
80,growing,O
80,deadliness,O
80,is,O
80,rising,O
80,cigarette,O
80,smoking,O
80,in,O
80,developing,O
80,countries,O
80,.,O
82,Garcia,B-per
82,led,O
82,Flores,B-per
82,by,O
82,nearly,O
82,"1,10,000",O
82,votes,O
82,on,O
82,Saturday,B-tim
82,.,O
83,The,O
83,surge,O
83,by,O
83,Flores,B-per
83,is,O
83,attributed,O
83,to,O
83,heavy,O
83,support,O
83,among,O
83,Peruvians,B-gpe
83,living,O
83,abroad,O
83,whose,O
83,votes,O
83,are,O
83,apparently,O
83,starting,O
83,to,O
83,impact,O
83,the,O
83,election,O
83,tally,O
83,.,O
84,Since,O
84,no,O
84,candidate,O
84,received,O
84,half,O
84,of,O
84,the,O
84,vote,O
84,in,O
84,the,O
84,April,B-tim
84,9,I-tim
84,election,I-tim
84,",",O
84,a,O
84,presidential,O
84,run-off,O
84,will,O
84,be,O
84,held,O
84,30,B-tim
84,days,O
84,after,O
84,the,O
84,final,O
84,results,O
84,are,O
84,announced,O
84,.,O
85,Either,O
85,Garcia,B-per
85,or,O
85,Flores,B-per
85,will,O
85,take,O
85,on,O
85,nationalist,O
85,Ollanta,B-per
85,Humala,I-per
85,",",O
85,who,O
85,took,O
85,31,O
85,percent,O
85,of,O
85,the,O
85,vote,O
85,.,O
86,Chilean,B-gpe
86,authorities,O
86,have,O
86,freed,O
86,on,O
86,bail,O
86,the,O
86,wife,O
86,and,O
86,four,O
86,adult,O
86,children,O
86,of,O
86,former,O
86,dictator,O
86,Augusto,B-per
86,Pinochet,I-per
86,",",O
86,a,O
86,day,O
86,after,O
86,they,O
86,were,O
86,detained,O
86,on,O
86,tax,O
86,evasion,O
86,charges,O
86,.,O
87,Lucia,B-per
87,Hiriart,I-per
87,and,O
87,her,O
87,children,O
87,were,O
87,arrested,O
87,Monday,B-tim
87,as,O
87,part,O
87,of,O
87,an,O
87,investigation,O
87,into,O
87,millions,O
87,of,O
87,dollars,O
87,kept,O
87,in,O
87,bank,O
87,accounts,O
87,abroad,O
87,.,O
88,A,O
88,fifth,O
88,child,O
88,",",O
88,daughter,O
88,Lucia,B-per
88,",",O
88,is,O
88,also,O
88,charged,O
88,",",O
88,but,O
88,her,O
88,whereabouts,O
88,are,O
88,unknown,O
88,.,O
89,If,O
89,located,O
89,",",O
89,she,O
89,will,O
89,be,O
89,prohibited,O
89,from,O
89,leaving,O
89,the,O
89,country,O
89,.,O
90,General,B-per
90,Pinochet,I-per
90,has,O
90,been,O
90,indicted,O
90,for,O
90,tax,O
90,fraud,O
90,for,O
90,allegedly,O
90,hiding,O
90,$,O
90,27,O
90,million,O
90,in,O
90,foreign,O
90,bank,O
90,accounts,O
90,.,O
91,40,O
91,percent,O
91,of,O
91,the,O
91,world,O
91,'s,O
91,smokers,O
91,are,O
91,thought,O
91,to,O
91,live,O
91,in,O
91,China,B-geo
91,and,O
91,India,B-geo
91,alone,O
91,.,O
92,The,O
92,former,O
92,dictator,O
92,also,O
92,faces,O
92,human,O
92,rights,O
92,charges,O
92,related,O
92,to,O
92,his,O
92,rule,O
92,in,O
92,the,O
92,mid-1970s,O
92,.,O
93,His,O
93,lawyers,O
93,say,O
93,he,O
93,is,O
93,not,O
93,healthy,O
93,enough,O
93,to,O
93,stand,O
93,trial,O
93,",",O
93,but,O
93,court-ordered,O
93,doctors,O
93,say,O
93,he,O
93,is,O
93,fit,O
93,enough,O
93,to,O
93,do,O
93,so,O
93,.,O
95,Zapatista,B-geo
95,leader,O
95,Subcomandante,B-geo
95,Marcos,I-geo
95,Friday,B-tim
95,announced,O
95,the,O
95,death,O
95,of,O
95,Comandante,B-geo
95,Ramona,I-geo
95,",",O
95,saying,O
95,Mexico,B-geo
95,had,O
95,lost,O
95,a,O
95,fighter,O
95,and,O
95,the,O
95,Zapatistas,B-geo
95,had,O
95,lost,O
95,a,O
95,piece,O
95,of,O
95,their,O
95,heart,O
95,.,O
96,The,O
96,announcement,O
96,came,O
96,during,O
96,a,O
96,stop,O
96,in,O
96,Chiapas,B-geo
96,",",O
96,six,O
96,days,O
96,into,O
96,the,O
96,leader,O
96,'s,O
96,nationwide,O
96,tour,O
96,.,O
97,The,O
97,nature,O
97,of,O
97,Comandante,B-geo
97,Ramona,I-geo
97,'s,O
97,death,O
97,was,O
97,not,O
97,immediately,O
97,clear,O
97,",",O
97,but,O
97,it,O
97,was,O
97,rumored,O
97,that,O
97,she,O
97,had,O
97,cancer,O
97,or,O
97,a,O
97,kidney,O
97,disease,O
97,.,O
98,She,O
98,had,O
98,once,O
98,received,O
98,a,O
98,kidney,O
98,transplant,O
98,.,O
99,The,O
99,mysterious,O
99,female,O
99,leader,O
99,was,O
99,a,O
99,Tzotzil,B-org
99,Indian,B-gpe
99,and,O
99,a,O
99,promoter,O
99,of,O
99,women,O
99,'s,O
99,rights,O
99,.,O
101,On,O
101,January,B-tim
101,1,I-tim
101,",",O
101,Subcomandante,B-geo
101,Marcos,I-geo
101,emerged,O
101,from,O
101,his,O
101,jungle,O
101,hideout,O
101,to,O
101,begin,O
101,a,O
101,six-month,B-tim
101,nationwide,O
101,tour,O
101,in,O
101,a,O
101,bid,O
101,to,O
101,influence,O
101,this,O
101,year,O
101,'s,O
101,presidential,O
101,elections,O
101,.,O
102,The,O
102,WHO,B-org
102,report,O
102,said,O
102,an,O
102,estimated,O
102,12,O
102,million,O
102,people,O
102,will,O
102,be,O
102,diagnosed,O
102,with,O
102,some,O
102,form,O
102,of,O
102,cancer,O
102,this,O
102,year,O
102,.,O
103,Representatives,O
103,of,O
103,the,O
103,Washington-based,B-org
103,Council,I-org
103,on,O
103,American-Islamic,B-org
103,Relations,I-org
103,have,O
103,appealed,O
103,for,O
103,the,O
103,release,O
103,of,O
103,kidnapped,O
103,American,B-gpe
103,journalist,O
103,Jill,B-per
103,Carroll,I-per
